Marca temporal,Fecha de nacimiento,Género,Nivel educacional,Comuna de residencia,"1. ¿Cómo describirías la diferencia entre la expresión A y B?
A. Empezó a llover en la madrugada.
B. Se largó a llover en la madrugada.","2. ¿Cómo describirías la diferencia entre la expresión C y D?
C. Luis se gana a vender aliños en la feria los sábados.
D. Luis se pone a vender aliños en la feria los sábados.","3. ¿Cómo describirías la diferencia entre la expresión E y F?
E. Paula se echó a correr cuando sintió ese ruido.
F. Paula se largó a correr cuando sintió ese ruido.","4. ¿Cómo describirías la diferencia entre la expresión G y H?
G. José se puso a trabajar como mueblista.
H. José se metió a trabajar como mueblista.","5. ¿Cómo describirías la diferencia entre la expresión I y J?
I. Roberto partió a estudiar temprano hoy día.
J. Roberto comenzó a estudiar temprano hoy día.","6. ¿Cómo describirías la diferencia entre la expresión K y L?
K. La madera empezará a crujir con la humedad
L. La madera se pondrá a crujir con la humedad","7. ¿Cómo describirías la diferencia entre la expresión M y N?
M. La alumna empezó a leer en la sala.
N. La alumna empezó leyendo en la sala ","8. ¿Cómo describirías la diferencia entre la expresión O y P?
O. El jardín comenzó a florecer con el fin del invierno
P. El jardín empezó a florecer con el fin del invierno","9. ¿Cómo describirías la diferencia entre la expresión Q y R?
Q. Y entonces mi hija empezó 'ya po mamá adoptemos el gatito, ya po que hace frío pobrecito', y yo acepté
R. Y entonces mi hija empezó a decir 'ya po mamá adoptemos el gatito, ya po que hace frío pobrecito', y yo acepté",1. Observa la secuencia de imágenes y completa la narración:,"2. En relación con la sucesión de imágenes anterior, selecciona la alternativa que usarías para decir que el inicio de la lluvia fue suave o moderado.","3. Ahora, selecciona la alternativa que usarías para decir que el inicio de la lluvia fue violento o abrupto.","4. Ordena las siguientes frases de tal forma que la primera (1) sea la que te parece más natural (o menos forzada) hasta llegar a la última (5), menos natural (o más forzada). [“María se puso a reír descontroladamente”]","4. Ordena las siguientes frases de tal forma que la primera (1) sea la que te parece más natural (o menos forzada) hasta llegar a la última (5), menos natural (o más forzada). [“María se largó a reír descontroladamente”]","4. Ordena las siguientes frases de tal forma que la primera (1) sea la que te parece más natural (o menos forzada) hasta llegar a la última (5), menos natural (o más forzada). [“María empezó a reír descontroladamente”]","4. Ordena las siguientes frases de tal forma que la primera (1) sea la que te parece más natural (o menos forzada) hasta llegar a la última (5), menos natural (o más forzada). [“María rompió a reír descontroladamente”]","4. Ordena las siguientes frases de tal forma que la primera (1) sea la que te parece más natural (o menos forzada) hasta llegar a la última (5), menos natural (o más forzada). [“María se echó a reír descontroladamente”]","5. Ordena las siguientes frases de tal forma que la primera (1) sea la que te parece más natural (o menos forzada) hasta llegar a la última (5), menos natural (o más forzada). [El viento se puso a mover las hojas.]","5. Ordena las siguientes frases de tal forma que la primera (1) sea la que te parece más natural (o menos forzada) hasta llegar a la última (5), menos natural (o más forzada). [El viento se largó a mover las hojas.]","5. Ordena las siguientes frases de tal forma que la primera (1) sea la que te parece más natural (o menos forzada) hasta llegar a la última (5), menos natural (o más forzada). [El viento empezó a mover las hojas.]","5. Ordena las siguientes frases de tal forma que la primera (1) sea la que te parece más natural (o menos forzada) hasta llegar a la última (5), menos natural (o más forzada). [El viento rompió a mover las hojas.]","5. Ordena las siguientes frases de tal forma que la primera (1) sea la que te parece más natural (o menos forzada) hasta llegar a la última (5), menos natural (o más forzada). [El viento se echó a mover las hojas.]","6. Ordena las siguientes frases de tal forma que la primera (1) sea la que te parece más natural (o menos forzada) hasta llegar a la última (5), menos natural (o más forzada). [La niña se puso a tener sed]","6. Ordena las siguientes frases de tal forma que la primera (1) sea la que te parece más natural (o menos forzada) hasta llegar a la última (5), menos natural (o más forzada). [La niña se largó a tener sed]","6. Ordena las siguientes frases de tal forma que la primera (1) sea la que te parece más natural (o menos forzada) hasta llegar a la última (5), menos natural (o más forzada). [La niña empezó a tener sed]","6. Ordena las siguientes frases de tal forma que la primera (1) sea la que te parece más natural (o menos forzada) hasta llegar a la última (5), menos natural (o más forzada). [La niña rompió a tener sed]","6. Ordena las siguientes frases de tal forma que la primera (1) sea la que te parece más natural (o menos forzada) hasta llegar a la última (5), menos natural (o más forzada). [La niña se echó a tener sed]","7. Ordena las siguientes frases de tal forma que la primera (1) sea la que te parece más natural (o menos forzada) hasta llegar a la última (5), menos natural (o más forzada). [Se pusieron a trabajar mil quinientas personas]","7. Ordena las siguientes frases de tal forma que la primera (1) sea la que te parece más natural (o menos forzada) hasta llegar a la última (5), menos natural (o más forzada). [Se largaron a trabajar mil quinientas personas]","7. Ordena las siguientes frases de tal forma que la primera (1) sea la que te parece más natural (o menos forzada) hasta llegar a la última (5), menos natural (o más forzada). [Empezaron a trabajar mil quinientas personas]","7. Ordena las siguientes frases de tal forma que la primera (1) sea la que te parece más natural (o menos forzada) hasta llegar a la última (5), menos natural (o más forzada). [Rompieron a trabajar mil quinientas personas]","7. Ordena las siguientes frases de tal forma que la primera (1) sea la que te parece más natural (o menos forzada) hasta llegar a la última (5), menos natural (o más forzada). [Se echaron a trabajar mil quinientas personas]","¿Hubo ejemplos que te causaron mucha extrañeza o ""sonaron raros""?¿Podrías señalar cuáles y explicar con tus propias palabras por qué?"
12/09/2022 16:29:14,13/05/2002,mujer,Universitaria incompleta,macul ,sinonimas,sinonimas,sinonimas,por alguna razón siento que en la h se siente más como si fuera la primera vez de jose trabajando cmo mueblista,en la expresión i es como si roberto se desplazara a otro lugar,sinonimas,"no se pq pero se me hacen distintas, en la n es como que hay info adicional q no queda explícita, noc pqxdd",sinonimas,sinonimas,comenzó a llover,Se puso a llover,Se largó a llover,2,3,1,5,4,2,3,1,4,5,2,4,1,5,3,2,3,1,5,4,"en general los ejemplos de la niña me sonaron raros, ya que los verbos que se evaluaron generalmente no se usan con expresión de tener sed, solo eso mdkwkq"
12/09/2022 18:17:17,29/08/1996,Masculino ,Universitaria incompleta,Ñuñoa ,Una marca el comienzo de la lluvia y la otra se refiere a la intensidad de esta.,"No veo diferencia, ambas apuntan literalmente a lo mismo.","No veo diferencia, ambas se refieren a la misma acción.","No veo diferencias, para mí ambas se refieren a lo mismo.","La diferencia se puede adjudicar a que en la expresión I el término ""partió"" se puede interpretar que el sujeto se movilizó a un lugar físico específico para ir a estudiar (biblioteca por ejemplo), en cambio el término J ""comenzó""; el sujeto comenzó a estudiar desde temprano sin movilizarse de su lugar inicial.","No veo diferencias, para mí ambas se refieren a lo mismo.",La expresión M se limita solo la lectura en la sala mientras que la expresión N se puede inferir que pudo haber seguido leyendo en otro espacio después de haber comenzado en la sala.,No veo diferencias entre ambas expresiones ya que literalmente se refieren a lo mismo.,"No veo diferencias, ya que pese a que la expresión R contiene el agregado de ""a decir"", ambas expresiones se refieren explícitamente al diálogo realizado por la hija.",Cayó el aguacero.,Empezó a llover,Se largó a llover,1,2,4,5,3,2,3,4,5,1,3,4,1,5,2,1,3,2,5,4,"""La niña se puso a tener sed"" me parece poco usual en las expresiones chilenas comúnmente usadas. Igualmente me parece poco usual el término ""romper"" empleado en todos los ejemplos anteriores, ya que se usa poco o más bien en otro tipo de expresiones igualmente menos usadas."
12/09/2022 19:53:00,17/10/1995,Masculino,Universitaria completa,Quilicura,La segundo tiene un pronombre clitico,La primera tiene un verbo que forma parte de una variante sociolectal asociada con las clases bajas y campesinas,La segundo se más intensa,Se puso a trabajar tiene una connotacion más voluntariosa,La primera tiene un sema de movimiento asociado ,La segunda tiene una agencialidad no convencional,La segunda es una construcción poco preferida,La primera es una variante más prestigiosa,La segunda es más descriptiva,Se puso a llover,Comenzó a llover,Rompió a llover,3,4,1,5,2,2,3,1,5,4,3,2,1,5,4,1,3,2,4,5,Rompieron a trabajar 
20/09/2022 16:57:54,13/08/1998,Femenino,Universitaria incompleta,Santiago Centro ,"Sinónimas, tal vez acotaría que el uso de ""se largó"" implicaría más fuerza en la lluvia/la cantidad de lluvia.",Sinónimas,Sinónimas ,"El verbo metió me da a pensar más en el lugar específico en el que trabaja, fuera de ello considero que son sinónimas.","""partió a"" me da a entender que el sujeto tuvo que movilizarse con el fin de estudiar, en cambio ""comenzó"" no evoca movimiento espacial.",Sinónimas ,El verbo leyendo me deja con una sensación inconclusa (No sabría bien como explicarlo),Sinónimas ,Sinónimas,Se puso a llover,Empezó a llover,Rompió a llover,1,4,2,5,3,2,4,1,5,3,3,2,1,5,4,1,3,2,5,4,"Sí, todos los del item 6, menos ""empezó a tener sed"", y en los ítems 5 y 7 las frases con los verbos Echar y Romper. 
Creo que la ""modificación"" (no sé si será el termino correcto) que hacen al verbo que acompaña posteriormente no es compatible (ej. ""Se echo a tener sed"" no me hace sentido porque el echarse a lo relaciono con movimiento)."
20/09/2022 17:15:16,13/09/1997,Masculino ,Universitaria incompleta,Castro,"En el ejemplo A, entiendo que comienza a llover en la madrugada, es decir, no estaba lloviendo hace dos minutos, sin embargo, ahora si. En el ejemplo B, comprendo que estaba lloviendo previamente y comienza a llover con fuerza en la madrugada.",sinónimas ,sinónimas ,G: Entiendo que se ha puesto a trabajar como una actividad que podría haber hecho de forma independiente mientras que en H: entiendo que meterse a trabajar responde más bien a comenzar un trabajo formal. (entiéndase formal como bajo contrato),"I: Roberto salió (desplazamiento) a estudiar.
J: Roberto comenzó fácticamente a estudiar",sinónimas ,"M: Empezó junto a la conjugación leer pareciera  no tener continuidad
N: empezó usando la conjugación leyendo pareciera implicar continuidad ",sinónimas ,sinonimas,Comenzo a llover,Empezó a llover,Se largó a llover,1,2,3,5,4,2,4,1,5,3,2,3,1,4,5,2,3,1,4,5,Usar el verbo comenzar para hablar de sed en el ejemplo 6. Me parece que suelo escuchar sed junto a tener o dar. Me dió sed o tengo sed.
21/09/2022 14:17:39,6/07/1991,Femenino,Universitaria completa,Ñuñoa,"A. La lluvia inició en la madrugada
B. No entiendo su uso",Sinónimos,Sinónimos,"G. José inició un trabajo rutinario, quizás a contrata
H. José inició un trabajo excepcional, casi impulsivo","I. Roberto se trasladó de un lugar a otro para estudiar
J. Roberto dio inicio a su proceso de aprendizaje antes que otros.","K. Cuando inicie la humedad, la madera automáticamente va a crujir.
L. Puede o no que la madera empiece a crujir con la humedad.","M. La alumna lee en la sala y no se sabe su final.
N. La alumna lee en la sala y se asume que después se traslada a otros lugares.",Sinónimos,Sinónimos,Comenzó a llover,Comenzó a llover,Comenzó a llover,2,5,1,3,4,1,5,2,4,3,4,3,1,5,2,2,3,1,4,5,"Romper a trabajar, echarse a tener sed o que eñ viento se largara no son los verbos que corresponden a los predicados"
21/09/2022 14:20:04,12/03/2016,Masculino ,Estudios de postgrado completos,Santiago ,Empezar es iniciar y se largo es que quedó la caga de una,Ninguna diferencia ,Lo mismo ,"El primero es inicio pero no implica precedencia, en la segunda se habla q jose no cashaba niuna antes ",El primero es ir y el segundo es iniciar ,Lo mismo ,Q antes la alumna no sabía leer y en el segundo si sabía ,El primero es un hecho y el segundo una sorpresa,El primero es copucha y el segundo es comentario ,"Pah, su lluvia a lo maldito ",Se largó a llover,Se largó a llover,1,2,3,5,4,2,3,1,4,5,2,5,1,4,3,1,5,2,4,3,
21/09/2022 14:20:41,23/10/2000,M,Universitaria incompleta,Cerro Navia,Expresión B es más informal y asumo que la relación entre hablantes es más cercana.,"Expresión C suena divertida, pero no hay diferencia entre las dos expresiones.","Expresión E y F son símiles, pero se diferencia es que Paula en E estaba preparándose para correr, mientras que en F fue más sorpresivo.","La expresión E y F son símiles. La expresión G y H son similares también. En la expresión H se asume que José estaba desempleado con anterioridad, lo que permite adivinar que G es un trámite y H fue todo un proceso.","La expresión I es más graciosa y suena entretenida también, asumo que la diferencia es que Roberto no estaba en la misma posición o el mismo lugar en la que se encontraba en J.","La expresión L depende de un agente externo, la humedad, para crujir. La diferencia con la K es la falta de aviso o de advertencia sobre el estado de la madera, en el caso de que no ""empiece"" a crujir.","En la expresión M la alumna había empezado a leer, pero ya leía con anterioridad, en la expresión N es su primera lectura. Pareciera que utilizar gerundios les da un estado de novedad a cada expresión.","El jardín en cuestión en expresión O estaba en un estado que la expresión P denota, por lo que no reconozco diferencia entre las acepciones. ","En la expresión Q, la madre imita lo que dice su hija, sin ser exactas las palabras, o no posible de inferir. En el caso de la expresión R, la madre indica que son las palabras de su hija, y que fueron conclusivas pues la convencieron.","el primer socavón, la ciudad no soporta el peso de la tormenta y se transforma en un panteón metafórico en el que los muertos,  la sociedad y toda nuestra humanidad fue recuperada por la naturaleza; sólo lluvió",Empezó a llover,Rompió a llover,2,5,3,4,1,5,4,1,3,2,2,5,1,4,3,5,3,4,1,2,"El ejemplo de ""rompieron"" y ""se echaron"" yo creo que sólo funciona con lluvias o con verbos transitivos. Es exagerado de explicar, pero cuando uno utiliza ""se largaron a trabajar"" en una oración, se asume que las palabras a continuación serían probablemente, expresiones informales o incluso insultos. Debido a la calidad y respeto al idioma, hay formas de crear oraciones más informales que se confunden con otras expresiones transversales de cultura y de traducción, yyyyyyyyy expresiones de relajo y comodidad, pero no adecuadas para una situación comunicativa ""sin jerarquías""."
21/09/2022 14:32:09,4/06/1997,Hombre,Universitaria incompleta,Pudahuel,B es algo que usaria un extranjero en comparación a A,D es más correcta que C,F es algo que usaria un extranjero en comparación a E,H es mas informal que G,I es algo que usaria un extranjero en comparación a J,L es más informal que K,N y M no hacen referencia a lo mismo,O y P son equivalentes,Q se adecua mejor al contexto que R,se puso a llover,Comenzó a llover,Se puso a llover,1,4,2,5,3,3,4,1,5,2,2,4,1,5,3,1,5,2,4,3,Todo lo que fuera con romper y largar
21/09/2022 14:36:11,10/08/1995,Masculino,Universitaria completa,Ñuñoa,"Empezó implica una lluvia normal, se largó implica un estuvo fuerte la lluvia ","Se gana es como que fuera por su cuenta y no fuera feriante, se pone lo hace un poco más formal ",Siento que se echo a correr implica más pánico y corrió mucho más rápido ,"Siento que es lo mismo, podría decir que se metió se puede tomar como que es algo temporal","En la primera es literal su primera sesión de estudios, con comenzó nos dice que ya lleva tiempo haciéndolo y es simplemente otra sesión ","La k implica que la persona ya sabe que pasará eso pero no a pasado aún, en la L es algo recurrente y sabe que si se moja va a ponerse a crujir ",Lo veo igual,Lo veo igual ,"Lo veo igual, cuando se pone a hablar por la hija ya sabemos que estaba diciendo eso no es necesario el “a decir”",Se puso a llover,Empezó a llover,Se echó a llover,2,3,4,5,1,3,4,1,5,2,2,4,1,3,5,2,4,1,5,3,"Varios con echaron y rompieron, siento que funcionan sólo con algunos verbos esos términos y echaron a trabajar es algo que nunca se diría "
